state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
pennsylvania,PA,,,4961,,,3466,3446,,121739,11375,,138,2943,27178,05/25/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 24,456 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,456,454,1,,,,,1243,1238,2,,,05/28/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 
south carolina,SC,,,1134,1117,2,,,,38629,3326,3228,42,5972,5701,05/25/2021,
south dakota,SD,,424,191,191,0,,,,8975,2342,2335,7,,,05/25/2021,
tennessee,TN,,,1542,1518,5,,,,48032,6691,6641,42,,,05/27/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
texas,TX,,237322,11738,11351,47,13169,11759,,539723,34639,33185,273,56121,29250,05/26/2021,"This week's prisoner deaths totals are based on data from the Texas Justice Initiative. Vaccine numbers as of 5/26, 196 staff and 5385 prisoners have received the one-shot Johnson and Johnson vaccine."
utah,UT,,,,,,,,,,,,,,,05/25/2021,
vermont,VT,,,112,110,0,0,467,3102,23260,463,462,0,821,,05/26/2021,They're only reporting incarcerated people *currently in their custody* who have received at least one dose.
virginia,VA,,21766,2595,2572,5,6917,5418,,119870,9112,8958,56,18041,16179,05/27/2021,
washington,WA,,,1276,,2,3711,,,,6249,6221,13,7926,,05/25/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
west virginia,WV,,14221,501,495,1,834,812,,10705,1630,1610,12,803,1533,05/28/2021,1533 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
wisconsin,WI,,,2568,2556,,,,,115106,10976,10763,32,10154,8849,05/25/2021,
wyoming,WY,,,304,301,0,,,,33234,902,895,3,,,05/25/2021,
federal,US,,,6965,6832,4,,18878,114091,,,,255,,69181,05/25/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
alabama,AL,,,1052,1038,3,848,,,16211,1651,1582,66,5935,,05/19/2021,
alaska,AK,,,330,,0,,,,34006,2423,,5,3233,2755,05/18/2021,
arizona,AZ,,,2771,2759,,,,46958,,12297,12223,59,,,05/18/2021,
arkansas,AR,,,,,4,,,,,11373,11277,52,,,05/18/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,16537,16403,28,32025,29240,126208,,49237,48390,222,69165,66555,05/21/2021,
colorado,CO,,,1897,,0,3418,,20097,220177,8954,,29,10043,,05/18/2021,
connecticut,CT,,76475,1686,1675,0,2697,,,120109,4486,4454,19,4600,,05/18/2021,
delaware,DE,,,,,1,1283,1128,,14077,2049,2030,13,2217,1793,05/20/2021,
florida,FL,,,6036,5837,9,,,,,18071,17852,221,,,05/19/2021,
georgia,GA,,,1737,1711,4,1494,,,,3865,3765,93,22681,,05/18/2021,
hawaii,HI,,,250,230,0,,,,18126,1974,1959,9,,,05/18/2021,
idaho,ID,6432,,481,479,0,249,213,11699,,4144,4089,6,2793,2196,05/18/2021,
illinois,IL,,246155,4557,4482,1,,4272,,598063,10898,10887,88,,18895,05/18/2021,
indiana,IN,,5682,1532,1508,4,,,,23007,3684,3584,51,11834,6282,05/18/2021,
iowa,IA,,,707,703,2,1309,1312,,47627,4887,4864,19,3702,3367,05/19/2021,30 Staff and 900 prisoners have received the one-shot Johnson and Johnson vaccine. The number of prisoners recovered from COVID-19 for this week was transcribed incorrectly and has been updated.
kansas,KS,,,1217,,6,1417,,,,6114,,16,6325,,05/18/2021,
kentucky,KY,,,1106,,5,,,,,7908,,48,,,05/20/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
louisiana,LA,2468,,937,927,6,2190,2141,9079,,3206,3107,36,9287,6368,05/19/2021,
maine,ME,,,63,63,0,802,790,,10324,197,,1,757,588,05/21/2021,
maryland,MD,,86892,2327,2291,4,,3968,,72775,4470,4431,30,10066,7148,05/21/2021,
massachusetts,MA,,,953,,,3132,2831,,37609,2572,,21,4665,4401,05/19/2021,
michigan,MI,,230592,4365,,6,,,41762,881458,26664,25611,141,12378,19768,05/20/2021,vaccine numbers from 5/21. 8041 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
minnesota,MN,,,1134,936,0,,2133,,116026,4229,4197,12,1180,4401,05/18/2021,3862 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
mississippi,MS,,,,,,691,545,,3442,1399,,23,10844,8734,05/19/2021,
missouri,MO,,12985,2605,2591,6,,,,85163,5826,5687,48,12216,,05/20/2021,
montana,MT,,,285,,0,,,,,,,6,,,05/18/2021,
nebraska,NE,,,,,,,,3676,6784,982,976,6,,,05/21/2021,
nevada,NV,,,1001,,3,,,,,4565,,,,,05/18/2021,
new hampshire,NH,,,186,184,0,,,,1993,460,456,3,1304,1255,05/18/2021,173 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
new jersey,NJ,,216939,2901,,,,,,287436,4799,,53,,,05/16/2021,
new mexico,NM,,,968,964,0,1678,1649,,50252,2986,2957,28,,,05/18/2021,
new york,NY,,,,,8,7546,7675,,97375,6561,6497,35,3938,10604,05/19/2021,"153 staff and 7686 incarcerated individuals have been fully vaccinated with the one-shot Johnson & Johnson vaccine. NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
north carolina,NC,,142760,3960,3831,13,6982,6403,42024,139099,10056,7940,55,17552,15695,05/18/2021,"Includes released prisoners: 845 at least one dose, 498 fully vaccinated"
north dakota,ND,1266,24537,299,298,1,,,3795,35996,634,633,1,1006,1040,05/18/2021,Vaccine numbers as of 5/19. 111 people were fully vaccinated with the one-shot Johnson & Johnson vaccine.
ohio,OH,,,4920,4883,10,7244,,,78872,9807,6932,135,23646,,05/18/2021,
oklahoma,OK,,17284,1074,,,,,,32683,7429,,55,,,05/18/2021,
oregon,OR,,,881,864,,,,,29151,3613,3439,42,,,05/18/2021,
pennsylvania,PA,,,4948,,,3430,3410,,119839,11359,,138,2916,26763,05/19/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 24,050 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,455,454,1,,,,,1238,1232,2,,,05/21/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 
south carolina,SC,,,1133,1112,2,,,,37645,3317,3220,42,4066,3653,05/18/2021,
south dakota,SD,,424,191,191,0,,,,8840,2342,2335,7,,,05/18/2021,
tennessee,TN,,,1541,1516,5,,,,46743,6684,6638,42,,,05/18/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
texas,TX,,231051,11712,11315,46,13162,11502,,527873,34620,33176,273,,,05/18/2021,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Vaccine numbers as of 5/20, 194 staff and 5288 prisoners have received the one-shot Johnson and Johnson vaccine. Beyond that, TDCJ is not releasing numbers for prisoners partially and fully vaccinated."
utah,UT,,,402,396,,,,,29340,3463,3438,16,377,358,05/20/2021,
vermont,VT,,,112,108,0,0,467,3061,22902,462,461,0,812,,05/18/2021,
virginia,VA,,21766,2589,2559,5,6852,5374,,118989,9111,8954,56,17971,16174,05/20/2021,
washington,WA,,,1263,,2,3693,,,,6240,6212,13,7363,,05/18/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
west virginia,WV,,14043,498,494,1,834,812,,10611,1629,1610,12,803,1519,05/21/2021,1519 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
wisconsin,WI,,,2560,2548,,,,,113112,10975,10757,32,9836,6549,05/18/2021,Vaccine numbers as of 5/16. 1845 people were fully vaccinated with Johnson & Johnson's one-shot vaccine
wyoming,WY,,,304,301,0,,,,32962,902,893,3,,,05/18/2021,
federal,US,,,6946,6792,4,,18772,113660,,,,253,,65442,05/18/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
alabama,AL,,,1046,1037,3,844,,,16066,1649,1580,66,4065,,05/12/2021,
alaska,AK,,,330,,0,,,,33204,2420,,5,,2313,05/11/2021,
arizona,AZ,,,2768,2757,,,,46927,,12296,12216,59,,,05/11/2021,The number of deaths this week was revised shortly after this was published after the medical examiner ruled one death was not COVID-related. We adjusted our data accordingly.
arkansas,AR,,,,,4,,,,,11351,11266,52,,,05/11/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,16485,16331,28,31642,28855,125541,,49229,48386,222,68107,65626,05/14/2021,
colorado,CO,,,1881,,0,3320,,19919,215728,8942,,29,9778,,05/11/2021,
connecticut,CT,,73296,1684,1661,0,2697,,,113335,4475,4448,19,4386,,05/11/2021,
delaware,DE,,,,,1,,,,,,,13,,,05/11/2021,
florida,FL,,,,,9,,,,,,,,,,05/11/2021,
georgia,GA,,,1733,1703,4,1448,,,,3864,3759,93,21901,,05/11/2021,
hawaii,HI,,,230,229,0,,,,17822,1970,1958,9,375,1290,05/11/2021,"Of those fully vaccinated, 1005 received the one-shot Johnson & Johnson vaccine."
idaho,ID,6428,,480,478,0,249,213,11643,,4141,4081,6,2613,2032,05/11/2021,
illinois,IL,,231007,4525,4452,1,,4272,,579437,10892,10878,88,,18895,05/11/2021,
indiana,IN,,5672,1530,1502,4,,,,22730,3679,3583,51,10265,5368,05/11/2021,
iowa,IA,,,706,702,2,1303,1274,,46773,4883,4855,19,3644,1439,05/12/2021,25 Staff and 548 prisoners have received the one-shot Johnson and Johnson vaccine.
kansas,KS,,,1216,,6,,,,,6111,,16,,,05/13/2021,"Vaccines as of 5/12. Kansas later revised its prisoner and staff vaccine totals, so we removed the earlier reported numbers for this week."
kentucky,KY,,,1103,,5,1524,,,,7904,,48,7125,,05/13/2021,
louisiana,LA,2467,,936,926,6,2172,2106,8995,,3205,3106,36,8877,5944,05/11/2021,
maine,ME,,,,,0,,735,,10199,197,,1,,284,05/14/2021,All of the prisoners vaccinated in Maine have received the one-shot Johnson & Johnson vaccine.
maryland,MD,,82404,2321,2276,4,4011,3968,,72192,4466,4425,30,9181,5810,05/14/2021,
massachusetts,MA,,,950,,,3132,2831,,35635,2568,,21,4665,4401,05/12/2021,
michigan,MI,,223650,4330,,6,,,41692,849219,26655,25548,141,12331,19722,05/13/2021,vaccine numbers from 5/14. 7997 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
minnesota,MN,,,1132,931,0,,2086,,115202,4229,4197,12,1056,4223,05/11/2021,3775 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
mississippi,MS,,,,,,691,537,,3436,1399,,23,10844,8734,05/12/2021,
missouri,MO,,12983,2597,2583,6,,,,84492,5793,5630,48,11902,,05/11/2021,
montana,MT,,,285,,0,,,,,1136,,6,1659,935,05/12/2021,Vaccine numbers as of 5/14. The number of staff cases for this week was transcribed incorrectly and has been updated.
nebraska,NE,,,,,,,,3676,6783,982,976,6,,,05/14/2021,
nevada,NV,,,998,,3,1274,845,,,4560,,57,5754,851,05/11/2021,
new hampshire,NH,,,185,184,0,,,,1943,458,455,3,1277,537,05/11/2021,132 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
new jersey,NJ,,211511,2889,,,,,,,,,53,,,05/09/2021,
new mexico,NM,,,965,960,0,1662,1632,,49828,2985,2952,28,2920,1874,05/11/2021,
new york,NY,,,,5113,8,7546,7675,,87849,6556,6472,35,3938,8024,05/11/2021,"153 staff and 5,106 incarcerated individuals have been fully vaccinated with the one-shot Johnson & Johnson vaccine. NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
north carolina,NC,,138637,3942,3823,13,6914,5807,41771,137126,10047,7976,55,17172,14447,05/11/2021,
north dakota,ND,1257,24185,299,294,1,,,3754,35593,634,633,1,984,1002,05/11/2021,79 people were fully vaccinated with the one-shot Johnson & Johnson vaccine.
ohio,OH,,,4912,4867,10,7146,,,77055,9763,6963,135,23443,,05/13/2021,
oklahoma,OK,,17232,1073,,,,,,32349,7425,,55,,,05/11/2021,
oregon,OR,,,875,858,0,,,,29149,3611,3434,42,,8469,05/11/2021,The number of vaccinated prisoners does not include those who have been vaccinated and released/paroled.
pennsylvania,PA,,,4934,,,3373,3353,,117103,11344,,137,,25162,05/11/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 22,563 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,454,453,1,902,899,,,1233,1220,2,,,05/14/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 13 staff and 51 prisoners received the on-shot Johnson & Johnson vaccine
south carolina,SC,,,1128,1102,2,,,,36790,3303,3212,42,,,05/11/2021,
south dakota,SD,,424,191,191,0,,,,8700,2342,2334,7,2164,,05/11/2021,
tennessee,TN,,,1537,1502,5,,,,45441,6682,6626,42,,,05/10/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
texas,TX,,225083,11695,11289,46,13099,11278,,516946,34611,33167,273,,,05/11/2021,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Vaccine numbers as of 5/12, 183 staff and 5065 prisoners have received the one-shot Johnson and Johnson vaccine. Beyond that, TDCJ is not releasing numbers for prisoners partially and fully vaccinated."
utah,UT,,,,396,,,,,,,,16,,,05/11/2021,
vermont,VT,,,111,107,0,0,467,3040,22315,461,460,0,,,05/11/2021,
virginia,VA,,21106,2582,2540,5,6811,5349,,117503,,8951,56,17711,16008,05/13/2021,
washington,WA,,,1242,,2,3679,,,,6234,6203,13,6636,,05/11/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
west virginia,WV,,13918,496,492,1,834,812,,10523,1629,1609,12,803,1486,05/14/2021,1486 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
wisconsin,WI,,,2553,2543,,,,,108412,10967,10748,31,9388,3916,05/12/2021,Vaccine numbers as of 5/11. 1787 people were fully vaccinated with Johnson & Johnson's one-shot vaccine
wyoming,WY,,,304,300,0,,,,32873,900,879,3,,,05/10/2021,
federal,US,,,6932,6756,4,,18333,113003,,,,252,,59901,05/11/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
alabama,AL,,,1045,1021,3,838,,,16014,1647,1573,65,3286,,05/05/2021,
alaska,AK,,,330,,0,,,,32715,2411,,5,3046,2313,05/04/2021,Vaccines as of 5/2
arizona,AZ,,,2766,2752,,,,46700,,12282,12209,58,,,05/04/2021,
arkansas,AR,,,,,4,,,,,11320,11258,52,,,05/04/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,16441,16261,28,27968,26207,124553,,49221,48379,222,67658,64298,05/07/2021,
colorado,CO,,,1847,,0,3289,,19804,211756,8925,,29,9729,,05/04/2021,
connecticut,CT,,70903,1667,1651,0,2697,,,113335,4471,4435,19,4386,,05/04/2021,
delaware,DE,,6049,764,754,1,1280,1116,,13750,2044,2025,13,2020,998,05/03/2021,
florida,FL,,,5970,5737,9,,,,,18069,17846,218,,,05/05/2021,
georgia,GA,,,1725,1702,4,1362,,,,3861,3738,93,16361,,05/04/2021,
hawaii,HI,,,230,227,0,,,,17297,1970,1958,9,,,05/04/2021,
idaho,ID,6427,,480,474,0,249,213,11572,,4137,4068,6,2311,1718,05/04/2021,
illinois,IL,,222546,4495,4417,1,,4272,,564391,10887,10872,88,,18895,05/04/2021,
indiana,IN,,5660,1528,1500,4,,,,22428,3663,3530,51,7449,4061,05/04/2021,
iowa,IA,,,705,700,2,1302,1232,,46301,4878,4848,19,3432,408,05/04/2021,Staff fully vaxxed=17 single dose + 1215 second dose. Prisoner fully vaxed=164 single dose+244 second dose
kansas,KS,,,1216,,6,,,,,6106,,16,,,05/06/2021,"Vaccines as of 5/5. Kansas later revised its prisoner and staff vaccine totals, so we removed the earlier reported numbers for this week."
kentucky,KY,,,1101,,5,1519,,,,7903,,48,7082,,05/06/2021,
louisiana,LA,2467,,935,925,6,,,8954,,3205,3106,36,,,05/04/2021,
maine,ME,,,,,0,,,,10108,196,,1,,284,05/07/2021,All of the prisoners vaccinated in Maine have received the one-shot Johnson & Johnson vaccine.
maryland,MD,,77886,2310,2254,4,4011,3968,,70693,4460,4406,30,8616,5005,05/07/2021,
massachusetts,MA,,,943,,,3127,2831,,35262,2554,,21,4660,4397,05/05/2021,
michigan,MI,,219806,4298,,6,,,41606,814314,26462,25476,141,12317,19532,05/06/2021,Vaccine numbers from 5/7. 7854 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
minnesota,MN,,,1122,914,0,1983,,,114329,4228,4161,12,,4168,05/04/2021,3730 prisoners and 1091 staff have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
mississippi,MS,,,,,,,,,,1399,,23,,,05/04/2021,
missouri,MO,,12981,2590,2578,6,,,,83371,5726,5608,48,10795,,05/04/2021,
montana,MT,,,,,0,,,,,,,6,1584,853,05/05/2021,
nebraska,NE,,,,,,,,3676,6783,982,976,6,,,05/07/2021,
nevada,NV,,,993,,3,1253,836,,,4557,,57,5101,741,05/04/2021,
new hampshire,NH,,,184,181,0,,,,1898,458,455,3,1277,537,05/04/2021,132 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
new jersey,NJ,,206169,2874,,,,,,275802,4797,,53,,,05/02/2021,
new mexico,NM,,,965,955,0,1659,1627,,49828,2985,2949,28,2467,1436,05/04/2021,
new york,NY,,,5168,5072,8,7546,7599,,86237,6538,6458,35,3938,5875,05/06/2021,
